fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,method,round,time,format,ref,date
d785f22c4cc99a3d,64a50dad704d1d49,Edson Barboza,511e82663651438d,Michael Johnson,Michael Johnson,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"February 22, 2015"
1574bb7476c9e556,dbc17725b887860a,Cezar Ferreira,d156513a19acf856,Sam Alvey,Sam Alvey,Middleweight Bout,KO/TKO,1,3:34,3 Rnd (5-5-5),Mario Yamasaki,"February 22, 2015"
4228886e94a25a63,9b7694d064a8a0ad,Rustam Khabilov,7dcf06c1967801c1,Adriano Martins,Adriano Martins,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,"February 22, 2015"
c7cbf6b47051fa7d,2f95a3c6d58b2aad,Iuri Alcantara,9ba2226646046b63,Frankie Saenz,Frankie Saenz,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"February 22, 2015"
82e713f037e37fe9,6d1bffff14897645,Santiago Ponzinibbio,0d8011111be000b2,Sean Strickland,Santiago Ponzinibbio,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Wernei Cardoso,"February 22, 2015"
76726a66840ccfa4,6a1901c62ab3870f,Jessica Andrade,c7d297714d9ab1a4,Marion Reneau,Marion Reneau,Women's Bantamweight Bout,Submission,1,1:54,3 Rnd (5-5-5),Camila Albuquerque,"February 22, 2015"
ec659c4e19f62700,ed74afc8b5b47a61,William Macario,8f0d576beba1cfcd,Matt Dwyer,Matt Dwyer,Welterweight Bout,KO/TKO,1,3:14,3 Rnd (5-5-5),Wernei Cardoso,"February 22, 2015"
a7ff11c5dfe65e86,8ce87f7e3a9baed2,Tiago dos Santos e Silva,1971869b7e054261,Mike de la Torre,Mike de la Torre,Featherweight Bout,KO/TKO,1,2:59,3 Rnd (5-5-5),Leon Roberts,"February 22, 2015"
10cff9ac7ce89c28,3a314d9fa7c6825d,Douglas Silva de Andrade,700a674c042b7a96,Cody Gibson,Douglas Silva de Andrade,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,"February 22, 2015"
b6a609806d44659f,19db7ac26308178f,Ivan Jorge,1d36f1ac66cf689d,Josh Shockley,Ivan Jorge,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"February 22, 2015"
fb5ce6329f243d8b,2676b28836a5a836,Benson Henderson,638cfec7ec559d6e,Brandon Thatch,Benson Henderson,Welterweight Bout,Submission,4,3:58,5 Rnd (5-5-5-5-5),Herb Dean,"February 14, 2015"
509bd83b00e4ab7c,150ff4cc642270b9,Max Holloway,282fa667ff9c51ed,Cole Miller,Max Holloway,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adam Martinez,"February 14, 2015"
0bdb170e1fef36b6,84b3e7d38f2d2ec5,Neil Magny,71df36d6d8cf0d74,Kiichi Kunimoto,Neil Magny,Welterweight Bout,Submission,3,1:22,3 Rnd (5-5-5),Herb Dean,"February 14, 2015"
60820d105e57d5d6,bdcbb976816fd256,Daniel Kelly,b4c96c3d9139bf0e,Patrick Walsh,Daniel Kelly,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tom Johnson,"February 14, 2015"
dcee56e0cbfacb45,e51fcd9cd84c0b93,Michel Prazeres,ee9ebceabfd16fa7,Kevin Lee,Kevin Lee,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tim Mills,"February 14, 2015"
1a3572d1502efdf4,a4de54ea806fb525,Ray Borg,56c9acc4e86046a2,Chris Kelades,Ray Borg,Flyweight Bout,Submission,3,2:56,3 Rnd (5-5-5),Adam Martinez,"February 14, 2015"
a4badfa86304f799,83fd97284f4bb4a4,Efrain Escudero,a4dc47001f202bcd,Rodrigo de Lima,Efrain Escudero,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Don Thais,"February 14, 2015"
b91807add93763c9,4bd6b4800070b069,Chas Skelly,fe5a9547479396ab,Jim Alers,Chas Skelly,Featherweight Bout,KO/TKO,2,4:59,3 Rnd (5-5-5),Tim Mills,"February 14, 2015"
93ac52a9fdca03e1,57ab4d7c0bc09a30,Zach Makovsky,c96d9178c9ed9e62,Tim Elliott,Zach Makovsky,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tom Johnson,"February 14, 2015"
357781ff34a3d39f,c06a9b48d4132c8e,James Moontasri,5904b0b38dc6718d,Cody Pfister,James Moontasri,Lightweight Bout,Submission,2,1:49,3 Rnd (5-5-5),Don Thais,"February 14, 2015"
f4e490d25bd62d39,1f454354805b6f75,Anderson Silva,f57a8a52ca401ed9,Nick Diaz,NC,Middleweight Bout,Overturned,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,"January 31, 2015"
d52a5d085bfa569b,effd9de9937996f8,Tyron Woodley,8c0580d4fff106c1,Kelvin Gastelum,Tyron Woodley,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,"January 31, 2015"
cbb4673397b5e96f,3bad7ef643840f67,Joe Lauzon,59279a7c978f7da0,Al Iaquinta,Al Iaquinta,Lightweight Bout,KO/TKO,2,3:34,3 Rnd (5-5-5),Marc Goddard,"January 31, 2015"
776a8a645868f616,cfb65863d5099327,Thales Leites,c80095f6092271a7,Tim Boetsch,Thales Leites,Middleweight Bout,Submission,2,3:45,3 Rnd (5-5-5),John McCarthy,"January 31, 2015"
0a2f344e419bd4fd,2aa49b3766a59bcd,Jordan Mein,31ee470ef5dc8d7f,Thiago Alves,Thiago Alves,Welterweight Bout,KO/TKO,2,0:39,3 Rnd (5-5-5),Herb Dean,"January 31, 2015"
7fa227a1c5ef2238,b96619b3acd7d9da,Miesha Tate,7be74a12d7352df2,Sara McMann,Miesha Tate,Women's Bantamweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Marc Goddard,"January 31, 2015"
b347480405118de5,06f36cf4bd97ec77,Ed Herman,b1a3e0aca758b322,Derek Brunson,Derek Brunson,Middleweight Bout,KO/TKO,1,0:36,3 Rnd (5-5-5),Mark Smith,"January 31, 2015"
c699c0e56664ff11,701e057d63c124d9,Ian McCall,c268b2cfebccf652,John Lineker,John Lineker,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"January 31, 2015"
fa537adfb4a7b719,0dba4df5f34d5ff0,Rafael Natal,6809c31286b08d97,Tom Watson,Rafael Natal,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"January 31, 2015"
5b0ebb843af7465e,9147679e1a4ad4a3,Richardson Moreira,7c6e87729e824ef4,Ildemar Alcantara,Ildemar Alcantara,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"January 31, 2015"
6451724f8a836167,dea070ed4a2a8281,Thiago Santos,993d385f5a475375,Andy Enz,Thiago Santos,Middleweight Bout,KO/TKO,1,1:56,3 Rnd (5-5-5),Mark Smith,"January 31, 2015"
f47a32ec7dfda660,3c6976f8182d9527,Alexander Gustafsson,365fee2da473b177,Anthony Johnson,Anthony Johnson,Light Heavyweight Bout,KO/TKO,1,2:15,5 Rnd (5-5-5-5-5),Marc Goddard,"January 24, 2015"
c910d2fe570b368a,1ccf4e7caff270df,Dan Henderson,232c582f29f8f65e,Gegard Mousasi,Gegard Mousasi,Middleweight Bout,KO/TKO,1,1:10,3 Rnd (5-5-5),Leon Roberts,"January 24, 2015"
c3544bce29be1281,902ab9197b83d0db,Phil Davis,c0ab242c40decc55,Ryan Bader,Ryan Bader,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"January 24, 2015"
eb0775cf8ee7a4e6,3f52ce18fb98008f,Akira Corassani,b8aef0faf4ce9b31,Sam Sicilia,Sam Sicilia,Featherweight Bout,KO/TKO,1,3:26,3 Rnd (5-5-5),Neil Hall,"January 24, 2015"
eab6e19a2a2a67f0,8b5f9ea38184ded3,Nicholas Musoke,ff6a1f63c254127e,Albert Tumenov,Albert Tumenov,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"January 24, 2015"
c565bf49fce2a4cd,6e0273f9478be71e,Kenny Robertson,e70de1859b7ee78e,Sultan Aliev,Kenny Robertson,Welterweight Bout,KO/TKO,1,2:42,3 Rnd (5-5-5),Bobby Rehman,"January 24, 2015"
9c1d4f57a997a490,b6c4451cb13c9303,Andy Ogle,87a1dc546b1c5caf,Makwan Amirkhani,Makwan Amirkhani,Featherweight Bout,KO/TKO,1,0:08,3 Rnd (5-5-5),Kevin Sataki,"January 24, 2015"
b2398418be9a3442,1091d4d957141094,Nikita Krylov,1d4bbaabd8b60173,Stanislav Nedkov,Nikita Krylov,Light Heavyweight Bout,Submission,1,1:24,3 Rnd (5-5-5),Marc Goddard,"January 24, 2015"
ee65977baeca3c85,8f5c8850b2484173,Mairbek Taisumov,4f11e9ce318ffbcb,Anthony Christodoulou,Mairbek Taisumov,Lightweight Bout,KO/TKO,2,0:38,3 Rnd (5-5-5),Leon Roberts,"January 24, 2015"
c740ceb0427b6317,cbd3e590a85b18c5,Mirsad Bektic,3f56b99447f00607,Paul Redmond,Mirsad Bektic,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Neil Hall,"January 24, 2015"
96f09d5db68951ef,202b0467521c9d6f,Viktor Pesta,22061ff217907c78,Konstantin Erokhin,Viktor Pesta,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bobby Rehman,"January 24, 2015"
f88fefd5df0ba06c,49a74b9fb2e45fdf,Neil Seery,55f446032177b119,Chris Beal,Neil Seery,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"January 24, 2015"
3d468536e8904b93,f4c49976c75c5ab2,Conor McGregor,5f87a5c00b3d17ed,Dennis Siver,Conor McGregor,Featherweight Bout,KO/TKO,2,1:54,5 Rnd (5-5-5-5-5),Herb Dean,"January 18, 2015"
93569f4876c20488,1d00756835ca67c9,Donald Cerrone,2676b28836a5a836,Benson Henderson,Donald Cerrone,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"January 18, 2015"
837a7a922066b214,65578a75fa7900e3,Uriah Hall,6dd758d34da8d254,Ron Stallings,Uriah Hall,Middleweight Bout,TKO - Doctor's Stoppage,1,3:37,3 Rnd (5-5-5),Herb Dean,"January 18, 2015"
293919e355b362b1,14ff46596ad80609,Norman Parke,75e5fec9f72910ef,Gleison Tibau,Gleison Tibau,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,"January 18, 2015"
6359bba789ce28ae,99c7610aa74995d3,Cathal Pendred,ab850a77a0fa487d,Sean Spencer,Cathal Pendred,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"January 18, 2015"
90e5169190971647,fc31f896cde2bc2e,John Howard,9450848a71d53776,Lorenz Larkin,Lorenz Larkin,Welterweight Bout,KO/TKO,1,2:17,3 Rnd (5-5-5),Herb Dean,"January 18, 2015"
cf38ced734978fb8,7b310409440c9102,Zhang Lipeng,c8097968da5e5f13,Chris Wade,Chris Wade,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,"January 18, 2015"
2d24929eaadf0351,6e7c758f5cdec01a,Paddy Holohan,a7de976620f2ed13,Shane Howell,Paddy Holohan,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Forman,"January 18, 2015"
53d2d2de5c4cccf2,1f4b04a926ef1287,Johnny Case,96c336b463e0662c,Frankie Perez,Johnny Case,Lightweight Bout,KO/TKO,3,1:54,3 Rnd (5-5-5),Bryan Miner,"January 18, 2015"
85e57ad2b3831621,40093d1d2d78394e,Charles Rosa,bd5403efbaa445c0,Sean Soriano,Charles Rosa,Featherweight Bout,Submission,3,4:43,3 Rnd (5-5-5),Kevin MacDonald,"January 18, 2015"
4d3cd5ecf4276c92,7b39035fae7268b8,Matt Van Buren,cb52f9490c2dc069,Sean O'Connell,Sean O'Connell,Light Heavyweight Bout,KO/TKO,3,2:11,3 Rnd (5-5-5),Gary Forman,"January 18, 2015"
a4a78ec539238a5f,3a524c6700addc24,Tateki Matsuda,b12fc8a41e82d3a2,Joby Sanchez,Joby Sanchez,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Bryan Miner,"January 18, 2015"
57385188587c83b9,07f72a2a7591b409,Jon Jones,d967f0128c323de6,Daniel Cormier,Jon Jones,UFC Light Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"January 03, 2015"
f4d91498ca3f0a1f,1d00756835ca67c9,Donald Cerrone,08e908ed6d18d6a0,Myles Jury,Donald Cerrone,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"January 03, 2015"
b2cda211e0e72811,0c6d9ea8306c029e,Brad Tavares,a8e6a69796280f17,Nate Marquardt,Brad Tavares,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"January 03, 2015"
f81cd5b3903bccf8,98aa60cf58071fd6,Kyoji Horiguchi,b72a60a0cadff408,Louis Gaudinot,Kyoji Horiguchi,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"January 03, 2015"
f3100979573e2895,db1f2ed63b54b9a7,Hector Lombard,6da99156486ed6c2,Joshua Burkman,NC,Welterweight Bout,Overturned,3,5:00,3 Rnd (5-5-5),John McCarthy,"January 03, 2015"
cee94cd937bf64f2,d1e7fc58d4225cdf,Danny Castillo,e5010b1b94ca5755,Paul Felder,Paul Felder,Lightweight Bout,KO/TKO,2,2:09,3 Rnd (5-5-5),Yves Lavigne,"January 03, 2015"
22e7485bceb841af,81801f57bd0a7c41,Marcus Brimage,d8c7c61b176e3994,Cody Garbrandt,Cody Garbrandt,Bantamweight Bout,KO/TKO,3,4:50,3 Rnd (5-5-5),Herb Dean,"January 03, 2015"
c0ca05832f518fef,ca2efc9d7d523c43,Shawn Jordan,13a0275fa13c4d26,Jared Cannonier,Shawn Jordan,Heavyweight Bout,KO/TKO,1,2:57,3 Rnd (5-5-5),John McCarthy,"January 03, 2015"
b10a94377bce3e22,e5c9de15bb58b1c6,Evan Dunham,a20d7dfaba74c067,Rodrigo Damm,Evan Dunham,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"January 03, 2015"
e4a9c93ff23eb5bb,16690d100f995f8f,Omari Akhmedov,a9bcf8717dd12532,Mats Nilsson,Omari Akhmedov,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"January 03, 2015"
e0f49380b9d31de0,4ae4049426e0161d,Alexis Dufresne,c7d297714d9ab1a4,Marion Reneau,Marion Reneau,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"January 03, 2015"
b57aaf04af8bdd34,f7a7f7118d4b01b6,Lyoto Machida,5d7bdab5e03e3216,CB Dollaway,Lyoto Machida,Middleweight Bout,KO/TKO,1,1:02,5 Rnd (5-5-5-5-5),Jerin Valel,"December 20, 2014"
53e818dd5abdf787,2c99576fefe53c7c,Renan Barao,b8592b4a383696cd,Mitch Gagnon,Renan Barao,Bantamweight Bout,Submission,3,3:53,3 Rnd (5-5-5),Mario Yamasaki,"December 20, 2014"
e17c7b239e8d6c32,52e76bb4b3e852f3,Antonio Carlos Junior,e51e5cb722bd47a8,Patrick Cummins,Patrick Cummins,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"December 20, 2014"
8040697ea2f36dbd,52ba464d9068d871,Elias Silverio,7ea1f74cef32f906,Rashid Magomedov,Rashid Magomedov,Lightweight Bout,KO/TKO,3,4:57,3 Rnd (5-5-5),Jerin Valel,"December 20, 2014"
647f6d2b9b784222,5866fc86183a9fb8,Erick Silva,b7ad576b8ae115e6,Mike Rhodes,Erick Silva,Welterweight Bout,Submission,1,1:15,3 Rnd (5-5-5),Mario Yamasaki,"December 20, 2014"
317e6940e8bf5290,7e47047d0971d566,Daniel Sarafian,81b8b3fb019dc69d,Antonio Dos Santos,Daniel Sarafian,Middleweight Bout,KO/TKO,2,1:01,3 Rnd (5-5-5),Eduardo Herdy,"December 20, 2014"
d92abff61b0ff5db,ab943cd2c3c17825,Marcos Rogerio de Lima,53278852bcd91e11,Igor Pokrajac,Marcos Rogerio de Lima,Light Heavyweight Bout,KO/TKO,1,1:59,3 Rnd (5-5-5),Fernando Yamasaki,"December 20, 2014"
