fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
2903,fd55393021a8c255,Gunnar Nelson,23024fdfc966410a,Gilbert Burns,Gilbert Burns,Welterweight Bout,3,3 Rnd (5-5-5),19,6,1,0,180.34,77.1,182.88,Switch,1988-07-28,1.77,0.61,3.06,0.48,2.0,0.52,0.68,1.0,22,9,0,0,177.8,77.1,180.34,Orthodox,1986-07-20,3.15,0.48,3.64,0.52,2.12,0.37,0.53,0.5
2904,cd13728ae1151f46,Ion Cutelaba,749f572d1d3161fb,Khalil Rountree Jr.,Ion Cutelaba,Light Heavyweight Bout,1,3 Rnd (5-5-5),19,11,1,1,185.42,92.97,190.5,Southpaw,1993-12-14,4.26,0.43,3.34,0.47,3.77,0.49,0.75,0.1,15,6,0,1,185.42,92.97,193.04,Southpaw,1990-02-26,3.79,0.4,4.24,0.49,0.0,0.0,0.58,0.1
2905,0d65c432720accb9,Michal Oleksiejczuk,50db8711c70196cd,Ovince Saint Preux,Ovince Saint Preux,Light Heavyweight Bout,2,3 Rnd (5-5-5),20,9,0,1,182.88,83.9,187.96,Southpaw,1995-02-22,5.27,0.51,4.51,0.59,1.05,0.43,0.48,0.0,27,18,0,0,190.5,92.97,203.2,Southpaw,1983-04-08,3.03,0.47,3.33,0.47,1.09,0.36,0.67,0.5
2906,9d19d9e4aa2662e8,Nicolas Dalby,57b10fca4f9c9a7a,Alex Oliveira,Nicolas Dalby,Welterweight Bout,3,3 Rnd (5-5-5),23,6,1,2,180.34,77.1,187.96,Orthodox,1984-11-16,4.05,0.43,3.69,0.52,0.98,0.27,0.58,0.1,22,12,1,2,180.34,77.1,193.04,Orthodox,1988-02-21,2.99,0.51,2.55,0.46,2.35,0.38,0.63,0.6
2907,70fa1c64a2c439ef,Alen Amedovski,e9ac7bfb65c25497,John Phillips,John Phillips,Middleweight Bout,1,3 Rnd (5-5-5),8,4,0,0,177.8,83.9,187.96,Orthodox,1988-04-06,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,22,11,0,1,180.34,83.9,190.5,Southpaw,1985-06-09,1.72,0.34,4.03,0.49,0.0,0.0,0.07,0.0
2908,77d7295d1b22c694,Alessio Di Chirico,ea7e5bc78d9de658,Makhmud Muradov,Makhmud Muradov,Middleweight Bout,3,3 Rnd (5-5-5),13,7,0,0,182.88,83.9,187.96,Orthodox,1989-12-12,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,26,8,0,1,187.96,83.9,190.5,Orthodox,1990-02-08,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2
2909,aec185309b4843d0,Siyar Bahadurzada,6a96ad1bc34fb113,Ismail Naurdiev,Ismail Naurdiev,Welterweight Bout,3,3 Rnd (5-5-5),24,8,1,0,180.34,77.1,185.42,Orthodox,1984-04-17,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,24,8,0,0,177.8,83.9,187.96,Orthodox,1996-08-18,3.69,0.52,1.77,0.64,1.5,0.4,0.73,0.2
2910,cc351e408bbb7d43,Brandon Davis,9560ff14eb3129f7,Giga Chikadze,Giga Chikadze,Featherweight Bout,3,3 Rnd (5-5-5),14,10,0,0,177.8,61.22,182.88,Orthodox,1990-05-08,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,15,5,0,0,182.88,65.76,187.96,Orthodox,1988-08-25,3.82,0.42,3.48,0.6,0.19,0.33,0.65,0.2
2911,9cdd2da1a9104a0b,Macy Chiasson,2eeaefbfc7f9fcff,Lina Lansberg,Lina Lansberg,Women's Bantamweight Bout,3,3 Rnd (5-5-5),11,4,0,0,180.34,61.22,182.88,Orthodox,1991-07-27,3.49,0.46,2.68,0.45,2.08,0.35,0.71,0.4,10,8,0,0,170.18,61.22,165.1,Orthodox,1982-03-13,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1
2912,32c355b04fc57f3a,Marc Diakiese,f9b200db02b488d9,Lando Vannata,Marc Diakiese,Lightweight Bout,3,3 Rnd (5-5-5),17,7,0,0,177.8,70.29,185.42,Orthodox,1993-03-16,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0.0,12,7,2,0,175.26,70.29,180.34,Orthodox,1992-03-14,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3
