result,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,title_fight,female,f1_stance_Open Stance,f1_stance_Orthodox,f1_stance_Southpaw,f1_stance_Switch,f1_stance_Unknown,f2_stance_Open Stance,f2_stance_Orthodox,f2_stance_Sideways,f2_stance_Southpaw,f2_stance_Switch,f2_stance_Unknown,f1_age,f2_age
0,15,5,0,0,182.88,77.1,195.58,4.94,0.39,5.39,0.4,0.0,0.0,0.51,0.0,12,2,0,0,185.42,77.1,185.42,5.83,0.76,2.79,0.45,6.43,0.58,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.3,34.4
0,17,11,0,0,167.64,56.69,170.18,4.05,0.41,4.4,0.5,0.47,0.38,0.68,0.3,8,1,0,0,167.64,56.69,167.64,7.48,0.57,2.68,0.63,1.05,0.75,1.0,0.7,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.5,33.2
0,14,5,0,0,172.72,65.76,175.26,2.75,0.5,2.82,0.4,2.17,0.8,0.66,0.5,9,0,0,0,170.18,65.76,180.34,12.86,0.75,4.29,0.5,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.5,31.5
1,9,1,0,0,182.88,70.29,190.5,5.48,0.59,3.46,0.45,8.41,0.37,1.0,0.5,8,2,0,0,175.26,70.29,175.26,2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.5,30.3
1,11,1,0,0,177.8,70.29,175.26,4.84,0.56,2.99,0.58,0.0,0.0,0.83,0.0,8,1,0,0,172.72,70.29,175.26,3.87,0.5,7.33,0.33,2.0,0.18,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.6,29.7
1,25,3,0,1,177.8,70.29,177.8,3.35,0.51,3.04,0.59,5.33,0.36,0.9,0.1,23,5,1,0,170.18,70.29,182.88,3.57,0.52,3.34,0.52,1.52,0.51,0.76,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.6,30.4
0,9,4,0,0,177.8,77.1,182.88,7.51,0.46,5.02,0.59,1.75,0.16,0.66,0.0,12,5,0,0,177.8,77.1,182.88,2.14,0.45,3.81,0.43,1.99,0.41,0.47,1.7,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.1,32.7
1,21,9,1,0,190.5,92.97,193.04,5.37,0.47,4.02,0.57,0.33,0.25,0.62,0.0,14,2,0,0,187.96,92.97,187.96,2.81,0.43,3.38,0.57,2.51,0.33,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.3,32.2
1,15,4,0,0,172.72,61.22,172.72,2.84,0.41,3.72,0.51,1.28,0.43,0.9,0.5,11,4,0,0,180.34,61.22,182.88,3.49,0.46,2.68,0.45,2.08,0.35,0.71,0.4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.9,34.0
1,9,2,0,0,193.04,83.9,195.58,4.28,0.54,2.99,0.43,2.88,0.58,0.57,1.2,12,6,0,0,185.42,83.9,187.96,4.79,0.57,4.53,0.47,1.5,0.17,0.42,0.2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.3,31.2
0,16,4,0,0,170.18,56.69,172.72,1.92,0.41,1.63,0.47,2.45,0.42,0.66,2.1,21,6,0,0,172.72,56.69,175.26,2.64,0.6,1.96,0.5,1.42,0.24,0.3,0.9,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.2,33.8
0,22,10,0,1,180.34,70.29,177.8,4.58,0.44,4.24,0.49,0.65,0.33,0.38,0.8,12,3,0,0,175.26,70.29,180.34,2.49,0.61,1.79,0.57,2.92,0.3,0.3,1.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.8,30.1
1,10,2,0,0,177.8,70.29,185.42,7.05,0.45,4.76,0.62,1.24,0.75,0.85,0.0,10,3,0,0,172.72,70.29,175.26,9.1,0.44,7.93,0.54,0.0,0.0,0.57,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.7,24.8
0,14,9,0,0,157.48,52.15,157.48,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0,10,7,0,0,160.02,52.15,157.48,6.73,0.44,5.04,0.57,1.0,0.5,0.87,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.1,33.2
0,22,9,0,0,177.8,77.1,180.34,3.15,0.48,3.64,0.52,2.12,0.37,0.53,0.5,18,0,0,0,182.88,77.1,200.66,5.62,0.49,3.31,0.53,1.09,0.41,0.89,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,26.1
0,13,5,0,0,175.26,70.29,180.34,5.27,0.49,4.29,0.53,0.36,0.23,0.62,0.4,17,1,0,0,170.18,70.29,182.88,3.53,0.46,2.38,0.66,0.0,0.0,0.5,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.2,25.1
0,16,7,0,0,182.88,83.9,190.5,3.14,0.45,3.14,0.47,2.26,0.41,0.46,1.3,36,9,2,2,195.58,83.9,193.04,2.59,0.46,2.89,0.48,0.75,0.66,0.33,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.7,31.6
0,31,13,0,0,185.42,65.76,187.96,6.21,0.48,6.27,0.48,1.78,0.43,0.61,0.7,24,7,0,0,177.8,65.76,180.34,4.44,0.49,3.09,0.54,1.96,0.38,0.58,1.2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,28.8
1,12,5,0,0,177.8,70.29,185.42,5.6,0.45,6.19,0.47,0.71,0.5,0.5,0.5,9,3,0,0,177.8,70.29,175.26,1.49,0.48,1.38,0.55,3.44,0.66,0.0,1.7,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.2,24.5
1,21,7,0,1,175.26,70.29,172.72,5.67,0.55,3.91,0.56,1.83,0.32,0.62,0.0,19,9,0,0,175.26,70.29,177.8,2.48,0.42,4.08,0.53,1.31,0.35,0.52,1.1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.9,30.3
1,9,0,0,0,175.26,65.76,175.26,7.49,0.67,3.46,0.52,2.51,0.42,0.66,1.7,7,4,0,0,172.72,65.76,180.34,4.82,0.43,6.06,0.55,3.24,0.55,0.46,0.7,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,33.1
1,9,2,0,0,167.64,61.22,170.18,3.69,0.52,3.4,0.62,1.91,0.5,0.83,1.3,7,3,0,0,170.18,61.22,170.18,1.68,0.43,1.42,0.49,1.53,0.36,0.58,0.4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.2,34.4
0,8,5,0,0,160.02,52.15,160.02,3.41,0.53,3.26,0.51,0.46,0.6,0.53,0.0,11,3,0,0,157.48,52.15,160.02,4.59,0.5,3.04,0.51,1.19,0.36,0.67,0.8,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.6,25.5
1,10,0,0,0,170.18,56.69,167.64,4.27,0.46,3.29,0.6,1.9,0.33,1.0,2.9,10,5,0,0,172.72,56.69,170.18,3.83,0.45,3.5,0.5,1.56,0.21,0.65,0.2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.7,31.7
1,15,7,0,0,154.94,52.15,152.4,4.78,0.48,3.48,0.61,0.54,0.13,0.62,0.1,11,5,0,0,157.48,52.15,157.48,3.29,0.39,4.06,0.6,2.33,0.37,0.71,0.2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.9,32.7
